item,label,site,geo,inscription
Q70892993,CIIC 293 (Ogham Stone Concept by RAS Macalister),Q85396914,POINT(-7.6 52.111389),...]RG[...]BRCEN[...
Q70892996,CIIC 294 (Ogham Stone Concept by RAS Macalister),Q85396914,POINT(-7.6 52.111389),CORB
Q70892999,CIIC 295 (Ogham Stone Concept by RAS Macalister),Q85396914,POINT(-7.6 52.111389),Q[E]CC[IAS] M[U]C[OI B]R[O]E[NIONAS]
Q70893002,CIIC 296 (Ogham Stone Concept by RAS Macalister),Q85396914,POINT(-7.6 52.111389),...]CIR MAQI MUC[...
Q70893003,CIIC 297 (Ogham Stone Concept by RAS Macalister),Q85396914,POINT(-7.6 52.111389),VORTIGURN
Q70893005,CIIC 298 (Ogham Stone Concept by RAS Macalister),Q85396914,POINT(-7.6 52.111389),VEDABAR M[A]Q[.....]LSM MOCOI ORD[....]REA.
Q70893008,CIIC 299 (Ogham Stone Concept by RAS Macalister),Q85396914,POINT(-7.6 52.111389),[MAQI?] MOŊEDIAS MAQI MUIBITI
Q70893010,CIIC 300 (Ogham Stone Concept by RAS Macalister),Q85396859,POINT(-7.59 52.160833),CUNNETAS MAQI GOC[OI] NETA-SEGAMONAS
Q70893016,CIIC 301 (Ogham Stone Concept by RAS Macalister),Q85396862,POINT(-7.746944 52.267222),DOMOKI
Q70893017,CIIC 302 (Ogham Stone Concept by RAS Macalister),Q85396997,POINT(-7.226667 52.185),CUMNI MAQI MUCOI VALUVI
Q70893020,CIIC 303 (Ogham Stone Concept by RAS Macalister),Q85396916,POINT(-7.385 52.311111),CATABAR MOCO VIRICORB
Q70893023,CIIC 304 (Ogham Stone Concept by RAS Macalister),Q85396978,POINT(-7.391111 52.330556),VOCAGNI MAQI CUR(I)T
Q70893024,CIIC 305 (Ogham Stone Concept by RAS Macalister),Q85396866,POINT(-7.379167 52.324167),n/a
Q70893028,CIIC 306 (Ogham Stone Concept by RAS Macalister),Q85396870,POINT(-7.511667 52.326389),LUGUDI MAQI L..D...QA MOCOI DONM(A)
Q70893030,CIIC 307 (Ogham Stone Concept by RAS Macalister),Q85396919,POINT(-7.487778 52.341944),MODDAGN[I] MAQI GATTAGN[I] MUCOI LUGUNI
Q70893035,CIIC 308 (Ogham Stone Concept by RAS Macalister),Q85396919,POINT(-7.487778 52.341944),n/a
Q70893037,CIIC 309 (Ogham Stone Concept by RAS Macalister),Q85392806,POINT(-6.183333 54.803056),TORAESCEUSAS MAQI MUCOI MEUTINI
Q70893044,CIIC 310 (Ogham Stone Concept by RAS Macalister),Q85392806,POINT(-6.183333 54.803056),CAGINADI MAQI VOBARACI
Q70893046,CIIC 311 (Ogham Stone Concept by RAS Macalister),Q85392810,POINT(-6.655278 54.307222),DINEGLO MAQI QETAIS
Q70893047,CIIC 312 (Ogham Stone Concept by RAS Macalister),Q85392813,POINT(-6.954444 53.805),OSBBAR
Q70893050,CIIC 313 (Ogham Stone Concept by RAS Macalister),Q85392823,POINT(-7.209444 53.794444),OVOMAN(I?)
Q70893052,CIIC 314 (Ogham Stone Concept by RAS Macalister),Q85392816,POINT(-7.871111 54.608611),n/a
Q106675309,ANGAP/1 (Ogham Stone Concept by CISP),Q85394130,POINT(-10.063056 52.159167),--]TAQMAQO[--
Q106675312,ARDCT/2 (Ogham Stone Concept by CISP),Q85396815,POINT(-9.733611 52.165556),LMCBLTCL 
Q106675313,ARDFE/1 (Ogham Stone Concept by CISP),Q85394024,POINT(-9.772778 52.328889),CT[A]N[--] 
Q106675314,ARDNE/1 (Ogham Stone Concept by CISP),Q85394026,POINT(-10.049167 52.143056),--][D!]ITA[V!][--
Q106675315,ARRAG/1 (Ogham Stone Concept by CISP),Q85394028,POINT(-10.236944 52.2675),QRIMITIRON 
Q106675316,AUTAG/1 (Ogham Stone Concept by CISP),Q85394004,POINT(-9.088056 51.770833),UBEDABOALTASI
Q106675318,AYWAG/1 (Ogham Stone Concept by CISP),Q85396974,POINT(-9.662778 52.147778),COVTET
Q106675319,BABOR/1 (Ogham Stone Concept by CISP),Q85393914,POINT(-8.453333 52.010278),--]UIVAIBES 
Q106675320,BABOR/2 (Ogham Stone Concept by CISP),Q85393914,POINT(-8.453333 52.010278),MAILAGN[I]
Q106675321,BAHAN/1 (Ogham Stone Concept by CISP),Q85394010,POINT(-8.608333 51.838611),--]LLMAQIVORRTIGURN
