wd|geo|site|country|county|insc
Q70892761|52.0719444,-9.747222222222222|Q85395537|Q27|Q184469|....]ECC MAQI L[UGUQ]RRIT
Q70892763|52.0719444,-9.747222222222222|Q85395537|Q27|Q184469|UMALL
Q70892767|52.0719444,-9.747222222222222|Q85395537|Q27|Q184469|...]GGO MAQI AGILL[....
Q70892772|52.0719444,-9.747222222222222|Q85395537|Q27|Q184469|DUBE[B?]
Q70892774|52.0719444,-9.747222222222222|Q85395537|Q27|Q184469|RITTUVVECC MAQI VEDDONOS
Q70892778|52.0719444,-9.747222222222222|Q85395537|Q27|Q184469|n/a
Q70892780|52.0719444,-9.747222222222222|Q85395537|Q27|Q184469|URG
Q70892784|52.0680556,-9.71888888888889|Q85395538|Q27|Q184469|ANNVENI TEGG[....
Q70892785|52.0805556,-9.703055555555554|Q85395539|Q27|Q184469|ALATTO CELI BATTIGNI
Q70892787|52.0805556,-9.703055555555554|Q85395539|Q27|Q184469|GOSOCTEAS MOSAC MAKINI
Q70892791|52.0805556,-9.703055555555554|Q85395539|Q27|Q184469|NOCATI MAQI MAQI-REC [....] MAQI MUCOI UDDAMI
Q70892792|52.0805556,-9.703055555555554|Q85395539|Q27|Q184469|L[A]G[O]BB[... MUCO - TUCACAC
Q85411181|52.0805556,-9.703055555555554|Q85395539|Q27|Q184469|n/a
Q70892797|51.91,-9.746666666666666|Q85395602|Q27|Q184469|ANM CRUNAN MAQ LUQIN
Q70892799|51.7730556,-10.122222222222224|Q85395573|Q27|Q184469|ANM LLATIGNI MAQ M[I]N[E]RC M[UCOI] Q[...]CI
Q70892801|51.8811111,-9.786666666666667|Q85395540|Q27|Q184469|CATVVIRR MAQI LUGUVVEC
Q70892805|51.8586111,-9.875|Q85395541|Q27|Q184469|.....]NEGGNI
Q70892807|51.8586111,-9.875|Q85395605|Q27|Q184469|ANM VINNAGITLET...
Q70892808|51.8852778,-9.525833333333335|Q85395543|Q27|Q184469|MOŊUNILOCID MAQI ALOTTO
Q70892810|51.8475,-9.551666666666668|Q85395607|Q27|Q184469|NOARRA MAQI VORUDRAN
Q70892813|51.8394444,-9.389166666666666|Q85395624|Q27|Q184469|ORIBRASSIA
Q70892814|51.8833333,-9.413611111111111|Q85395546|Q27|Q184469|OTTINN MAQI VECR[EC]
Q70892818|52.5666667,-9.421388888888888|Q85395548|Q27|Q184469|MAQI BROCI
Q70892821|51.9211111,-10.166666666666666|Q85395576|Q27|Q184469|ANM CALUMANN MAQ[...
Q70892823|51.8941667,-10.176944444444445|Q85395549|Q27|Q184469|D[...]A[.C?.] AVI DALAGNI [MAQI C...?] EQQEGGNI MAQI MAQI-CARATTINN
Q70892827|51.9122222,-10.365555555555556|Q85395579|Q27|Q184469|LOGITTI MAQI ERPENN
Q70892828|51.9122222,-10.365555555555556|Q85395579|Q27|Q184469|....]ERRLONNA MAQI R[U]T[E]N[I]
