item,label,desc,geo,logainm,osm
Q85394006,Templebryan North (Ogham Site),"Ogham Site, Co. Cork",Point(-8.893056 51.645),8996,5998059
Q85394010,Ballyhank (Ogham Site),"Ogham Site, Co. Cork",Point(-8.608333 51.838611),9212,6169174
Q85394014,Kilmartin Lower (Ogham Site),"Ogham Site, Co. Cork",Point(-8.789444 51.985556),,6163387
Q85394017,Rooves More (Ogham Site),"Ogham Site, Co. Cork",Point(-8.784167 51.886667),11243,6171286
Q85394019,Tullig More (Ogham Site),"Ogham Site, Co. Cork",Point(-8.757222 51.946389),11538,6167687
Q85394021,Glebe / Shanacloon (Ogham Site),"Ogham Site, Co. Cork",Point(-9.115 51.849444),,6133274
Q85394024,Ardfert (Ogham Site),"Ogham Site, Co. Kerry",Point(-9.772778 52.328889),1411932,6297127
Q85394026,Ardrinane (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.049167 52.143056),22455,6186040
Q85394028,Arraglen (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.236944 52.2675),22488,6194293
Q85394074,Coolowen (Ogham Site),"Ogham Site, Co. Cork",Point(-8.539722 51.957778),9671,5688488
Q85394077,Coolineagh (Ogham Site),"Ogham Site, Co. Cork",Point(-8.823889 51.955833),11342,6173583
Q85394079,Kilcullen South (Ogham Site),"Ogham Site, Co. Cork",Point(-8.81 51.9875),11458,6173335
Q85394081,Monataggart (Ogham Site),"Ogham Site, Co. Cork",Point(-8.779444 51.974444),11463,6163395
Q85394084,Kealvaugh More (Ogham Site),"Ogham Site, Co. Cork",Point(-9.228056 51.828333),9754,6155931
Q85394087,Fortwilliam (Ogham Site),"Ogham Site, Co. Kerry",Point(-9.724167 52.362778),24261,6297143
Q85394096,Coomleagh East / Coomlia (Ogham Site),"Ogham Site, Co. Cork",Point(-9.283611 51.733056),8558,5990863
Q85394098,Gour (Ogham Site),"Ogham Site, Co. Cork",Point(-9.981667 51.628889),8815,5812537
Q85394111,Kilcaskan (Ogham Site),"Ogham Site, Co. Cork",Point(-9.711944 51.7275),,5979103
Q85394114,Mountrivers (Ogham Site),"Ogham Site, Co. Cork",Point(-8.829444 51.970833),11553,6173279
Q85394126,Glenaglogh North (Ogham Site),"Ogham Site, Co. Cork",Point(-8.866111 51.991111),11549,6173334
Q85394128,Mount Music / Knockoran (Ogham Site),"Ogham Site, Co. Cork",Point(-9.083889 51.926111),,
Q85394130,Annagap (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.063056 52.159167),22479,6148927
Q85394270,Ballyknock (Ogham Site),"Ogham Site, Co. Cork",Point(-8.071111 52.026944),9970,6356326
Q85394310,Ballinrannig (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.386111 52.176111),,4288698
Q85394775,Ennis Ogham Site (Ogham Site),"Ogham Site, Co. Clare",Point(-8.9807 52.8463),,
Q85395515,Ballyandreen (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.0375 52.165833),22441,6185905
