"label"|"desc"|"country"|"site"|"county"|"inscription"|"ino"|"st_astext"
"145. Arraglen (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85394028"|"Q184469"|"QRIMITIR RO/NA/NN MAQ COMOGANN"|"145. Arraglen"|"POINT(-10.236944 52.2675)"
"146. Ballineanig (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85393959"|"Q184469"|"LUGUQRIT MAQI/ QRITTI"|"146. Ballineanig"|"POINT(-10.382222 52.166667)"
"147. Ballineesteenigh (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85393961"|"Q184469"|"MOINENA MAQI OLACON"|"147. Ballineesteenigh"|"POINT(-10.2075 52.140556)"
"15. Clonmore (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85391717"|"Q181882"|"RENI"|"15. Clonmore"|"POINT(-6.573611 52.826389)"
"150. Ballinrannig III (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85394310"|"Q184469"|"GRAVICAS MAQI MUCOI/ DOVVINIAS"|"150. Ballinrannig III"|"POINT(-10.386111 52.176111)"
"151. Ballinrannig IV (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85394310"|"Q184469"|"BROINIONAS"|"151. Ballinrannig IV"|"POINT(-10.386111 52.176111)"
"152. Ballinrannig V (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85394310"|"Q184469"|"G/LUBBIAS MAQQI/ DN/IA?S"|"152. Ballinrannig V"|"POINT(-10.386111 52.176111)"
"153. Ballinrannig VI (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85394310"|"Q184469"|"CCICAMINI MAQ/Q/I CATTINI"|"153. Ballinrannig VI"|"POINT(-10.386111 52.176111)"
"154. Ballinrannig VII (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85394310"|"Q184469"|"CUNAMAQQI CORBBI MAQQI MUCCOI DOVVINIAS"|"154. Ballinrannig VII"|"POINT(-10.386111 52.176111)"
"155. Ballintaggart I (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85393964"|"Q184469"|"AKEVRITTI"|"155. Ballintaggart I"|"POINT(-10.031111 52.1725)"
"156. Ballintaggart II (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85393964"|"Q184469"|"MAQQI-IARI KOI MA/QQI MU/CCOI DOVVINIAS"|"156. Ballintaggart II"|"POINT(-10.031111 52.1725)"
"157. Ballintaggart III (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85393964"|"Q184469"|"DOVETI MAQQI/ CATTI/NI"|"157. Ballintaggart III"|"POINT(-10.031111 52.1725)"
"158. Ballintaggart IV (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85393964"|"Q184469"|"SUVALLOS MAQ/QI DU/COVAROS"|"158. Ballintaggart IV"|"POINT(-10.031111 52.1725)"
"159. Ballintaggart V (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85393964"|"Q184469"|"MAQI-DECCEDA/ MAQI/ GLASICONAS"|"159. Ballintaggart V"|"POINT(-10.031111 52.1725)"
"16. Rathglass (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85391648"|"Q181882"|"DUNAIDONAS/ MAQI MARIANI"|"16. Rathglass"|"POINT(-6.716667 52.781944)"
"160. Ballintaggart VI (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85393964"|"Q184469"|"TRIA MAQA MAILAGNI/ CURCITTI"|"160. Ballintaggart VI"|"POINT(-10.031111 52.1725)"
"161. Ballintaggart VII (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85393964"|"Q184469"|"INISSIO/NAS"|"161. Ballintaggart VII"|"POINT(-10.031111 52.1725)"
"162. Ballintaggart VIII (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85393964"|"Q184469"|"CUNAMAQQI/ AVI CORBBI"|"162. Ballintaggart VIII"|"POINT(-10.031111 52.1725)"
"163. Ballintaggart IX (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85393964"|"Q184469"|"NETTA-LAMINACCA KO/I MA/QQI MUCOI DOVINIAS"|"163. Ballintaggart IX"|"POINT(-10.031111 52.1725)"
"166. Ballinvoher (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395552"|"Q184469"|"COIMAGNI MAQI VITALIN"|"166. Ballinvoher"|"POINT(-10.159444 52.186944)"
"17. Tuckamine (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85391650"|"Q181882"|"...MUCOI MUCCI..."|"17. Tuckamine"|"POINT(-6.727222 52.848056)"
"170. Ballymorereagh (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395592"|"Q184469"|"QENILOCI MAQI MAQI-AINIA MUCOI"|"170. Ballymorereagh"|"POINT(-10.3275 52.151389)"
"171. Ballynahunt (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395518"|"Q184469"|"DUGENNGI MAQI RODOS"|"171. Ballynahunt"|"POINT(-10.029722 52.1875)"
"172. Ballywiheen (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395519"|"Q184469"|"TOGITTACC MAQI SAGARETTOS"|"172. Ballywiheen"|"POINT(-10.400833 52.155833)"
"173. Brackloon (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395554"|"Q184469"|"MAQI MUCCOI"|"173. Brackloon"|"POINT(-10.036389 52.146944)"
"175. Burnham West (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395594"|"Q184469"|"MAQQI-ERCCIA MAQQI MUCOI DOVINIA"|"175. Burnham West"|"POINT(-10.306944 52.125833)"
