item,itemLabel,itemDescription,no
Q106675474,DNMOR/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",DNMOR/1
Q106675475,DNWAY/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",DNWAY/1
Q106675476,DNWAY/2 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",DNWAY/2
Q106675477,DNWAY/3 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",DNWAY/3
Q106675478,DOOGH/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",DOOGH/1
Q106675479,DRCOM/1 (Ogham Stone Concept by CISP),"Ogham Stone, Northern Ireland",DRCOM/1
Q106675480,DRLUS/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",DRLUS/1
Q106675481,DROMR/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",DROMR/1
Q106675482,DROMR/2 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",DROMR/2
Q106675484,DROMR/3 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",DROMR/3
Q106675485,DROUK/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",DROUK/1
Q106675486,DRUML/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",DRUML/1
Q106675487,DRUML/10 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",DRUML/10
Q106675488,DRUML/2 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",DRUML/2
Q106675489,DRUML/3 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",DRUML/3
Q106675490,DRUML/4 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",DRUML/4
Q106675491,DRUML/5 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",DRUML/5
Q106675492,DRUML/6 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",DRUML/6
Q106675493,DRUML/7 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",DRUML/7
Q106675494,DRUML/8 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",DRUML/8
Q106675495,DRUML/9 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",DRUML/9
