filename|uuid|transliteration|ogham|translation|ciic|o3d|label|townland|barony|geom_found|geom_orig|geom_lastrecorded|webgis
205._Derrygariff.xml|b50f83744a68|nan|nan|nan|205|205._Derrygariff|CIIC 205. Derrygariff|||-9.641833,51.937202||-6.254558,53.340408|DU018-357----|
206._Kilcoolaght_East_I.xml|02903c0f1a05|nan|nan|nan|206|206._Kilcoolaght_East_I|CIIC 206. Kilcoolaght East|Kilcoolaght East|Dunkerron North|-9.745808, 52.073955|||KE065-003002-|
207._Kilcoolaght_East_II.xml|de4be23794cd|nan|nan|nan|207|207._Kilcoolaght_East_II|CIIC 207. Kilcoolaght East|Kilcoolaght East|Dunkerron North|-9.745808, 52.073955|||KE065-003005-|
208._Kilcoolaght_East_III.xml|70e8ab3f1490|nan|nan|nan|208|208._Kilcoolaght_East_III|CIIC 208. Kilcoolaght East|Kilcoolaght East|Dunkerron North|-9.745808, 52.073955|||KE065-003006-|
209._Kilcoolaght_East_IV.xml|db223d0dd609|nan|nan|nan|209|209._Kilcoolaght_East_IV|CIIC 209. Kilcoolaght East|Kilcoolaght East|Dunkerron North|-9.745808, 52.073955|||KE065-003007-|
210._Kilcoolaght_East_V.xml|919cdb54462f|nan|nan|nan|210|210._Kilcoolaght_East_V|CIIC 210. Kilcoolaght East|Kilcoolaght East|Dunkerron North|-9.745808, 52.073955|||KE065-003009-|
211._Kilcoolaght_East_VI.xml|045d278e74c3|nan|nan|nan|211|211._Kilcoolaght_East_VI|CIIC 211. Kilcoolaght East|Kilcoolaght East|Dunkerron North|-9.745808, 52.073955|||KE065-003008-|
212._Kilcoolaght_East_VII.xml|9c60b88120df|nan|nan|nan|212|212._Kilcoolaght_East_VII|CIIC 212. Kilcoolaght East|Kilcoolaght East|Dunkerron North|-9.745808, 52.073955|||KE065-003009-|
213._Kilcoolaght_East_VIII.xml|c9f544f04229|nan|nan|nan|213|213._Kilcoolaght_East_VIII|CIIC 213. Kilcoolaght East|Kilcoolaght East|Dunkerron North|-9.745808, 52.073955|||KE065-003010-|
215._Whitefield_I.xml|1b6e27e7a911|nan|nan|nan|215|215._Whitefield_I|CIIC 215. Whitefield I|Whitefield|Dunkerron North|-9.702644,52.085442||-9.706264, 52.266705|KE057-107----|
216._Whitefield_II.xml|de313d0b9a8f|nan|nan|nan|216|216._Whitefield_II|CIIC 216. Whitefield II|Whitefield|Dunkerron North|-9.702644,52.085442||-6.254558,53.340408|KE057-107002-|
217._Whitefield_III.xml|7373154087cc|nan|nan|nan|217|217._Whitefield_III|CIIC 217. Whitefield III|Whitefield|Dunkerron North|-9.702644, 52.085442||-6.254558,53.340408|KE057-107003-|
