Stone|Inscription|Transcription|Width|Height|Depth
200._Coolmagort IV|      ᚋᚐᚊᚔᚈᚈᚐᚂ    ᚋᚐᚊᚔ  ᚃᚑᚏᚌᚑᚄ  ᚋᚐᚊᚔ  ᚋᚒᚉᚑᚔ    ᚈᚑᚔᚉᚐᚉ     |MAQI-TTAL MAQI VORGOS MA/QI MU/COI TOICAC|0.30|1.48|0.15
201._Coolmagort V|  ᚋᚉ  ᚌᚓ  ᚋᚐᚊ  ᚇᚓ   |MC GE?/ MAQ D/E?|0.45|1.30|0.10
202._Coolmagort VI|    ᚅᚔᚑᚈᚈᚃᚏᚓᚉᚉ    ᚋᚐᚊᚔ  ᚌᚅᚔ |NIOTTVRECC MAQI/ GNI|0.23|1.30|0.23
203._Coolmagort VII|    ᚋᚐᚊᚔᚇᚓᚉᚓᚇᚐ  ᚋᚐᚊᚔ |MAQI-DECEDA MAQI|0.29|0.86|0.10
205._Derrygariff|    ᚄᚁᚅᚐᚌ  ᚋᚐᚊᚊᚔᚏᚉᚔᚐ |SBNAG MAQQI-RCIA|0.24|0.64|0.22
206._Kilcoolaght East I|ᚃᚔᚏᚄᚈ  ᚔᚅᚄᚉᚏᚔᚈᚔᚑᚅ  ᚐᚅᚋ  ᚃᚔᚏᚏᚐᚉᚉᚐᚅᚅᚔ    ᚈᚔᚌᚔᚏᚅ  ᚄᚓᚉᚑᚅᚇ  ᚔᚅᚄᚉᚏᚔᚈᚔᚑᚅ  ᚉᚈᚓᚇᚐᚈᚈᚑᚊᚐ  ᚋᚐᚊᚔ    ᚃᚓᚇᚓᚂᚋᚓᚈᚈᚑ |First inscription: [AN]M VIRRACC/ANNI TIGIR[N] Second inscription: C/TEDATTOQA MAQI/ VEDELMETTO|0.24|0.76|0.20
207._Kilcoolaght East II|  ᚓᚉᚉ  ᚋᚐᚊᚔ  ᚂᚒᚌᚒᚊᚏᚏᚔᚈ |ECC MAQI LUGUQRRIT|0.13|0.73|0.12
208._Kilcoolaght East III|  ᚒᚋᚐᚂᚂ   |UMALL|||
209._Kilcoolaght East IV|  ᚐᚌᚌᚑ  ᚋᚐᚊᚔ  ᚐᚌᚔᚂᚂ |AGGO MAQI AGILL|0.24|0.74|0.18
210._Kilcoolaght East V|  ᚇᚒᚁᚓᚁ    ᚊᚅ |DUBEB Q/N|0.11|0.51|0.15
211._Kilcoolaght East VI|  ᚏᚔᚈᚈᚐᚃᚃᚓᚉᚉ  ᚋᚐᚊᚔ  ᚃᚓᚇᚇᚑᚅᚑᚄ |[RI]TTAVVECC MAQI VEDDONOS|0.22|0.67|0.13
212._Kilcoolaght East VII|  ᚂ    ᚋ |L M|0.14|0.76|0.10
213._Kilcoolaght East VIII|  ᚒᚏᚌ   |URG|0.10|0.30|0.08
215._Whitefield I|    ᚐᚂᚐᚈᚈᚑ    ᚉᚓᚂᚔ  ᚁᚐᚈᚈᚔᚌᚅᚔ |ALATTO CELI BAT/TIG/NI|0.30|1.14|0.13
216._Whitefield II|    ᚌᚑᚄᚑᚉᚈᚓᚐᚄ  ᚋᚑᚄᚐᚉ  ᚋᚐᚕᚔᚅᚔ |GOSOCTEAS MOSAC MAKINI|0.30|1.42|0.15
217._Whitefield III|    ᚅᚑᚉᚐᚈᚔ  ᚋᚐᚊᚔ  ᚋᚐᚊᚔᚏᚓᚈ  ᚋᚐᚊᚔ  ᚋᚒᚉᚑᚔ  ᚒᚇᚇᚐᚋᚔ |NOCATI MAQI MAQI-RET/ MAQI MUCOI UDDAMI|0.23|0.99|0.02
218._Whitefield IV|    ᚂᚐᚌᚑᚁᚁ  ᚋᚒᚉᚑ  ᚈᚒᚉᚐᚉᚐᚉ |LAGOBB/ MUCO TUCACAC|0.26|1.00|0.22
22._Colbinstown IV|    ᚓᚌᚅᚔ  ᚕᚑᚔ  ᚋᚐᚊᚔ  ᚋᚒᚉᚑᚔ    ᚐᚔ |EGNI KOI MAQI MUC/OI AI|0.48|1.6|0.41
220._Derrynane|    ᚐᚅᚋ  ᚂᚂᚐᚈᚔᚌᚅᚔ  ᚋᚐᚊ  ᚋᚔᚅᚓᚏᚉ    ᚋᚒᚉᚑᚔ  ᚊᚉᚔ |ANM LLATIGNI MAQ MINERC/ MUCOI QCI?|0.51|2.11|0.30
223._Parknasilla|    ᚐᚅᚋ  ᚃᚔᚅᚅᚐᚌᚔᚈᚂᚓᚈ|ANM VINNAGITLET|0.30|1.08|0.18
23._Colbinstown V|  ᚐᚃᚄᚄᚋᚐᚊᚃᚄ|AVSSMAQVS|0.50|1.0|0.28
230._Cloghanecarhan|      ᚓᚊᚊᚓᚌᚌᚅᚔ  ᚋᚐᚊᚔ  ᚋᚐᚊᚔᚉᚐᚏᚐᚈᚈᚔᚅᚅ   |EQQEGGNI MAQI MAQI-CARATTINN|0.38|2.08|0.18
